Epsilon-Greedy Rewards,Epsilon-Greedy Regrets,Thompson Sampling Rewards,Thompson Sampling Regrets
0,0.2,0,0.10000000000000003
0,0.5,0,0.4000000000000001
1,0.5,0,0.7000000000000002
0,0.5,1,0.9000000000000001
0,0.5,0,1.1
1,0.5,0,1.2000000000000002
1,0.5,1,1.4000000000000001
0,0.5,1,1.6
0,0.5,0,1.8
0,0.5,0,2.0
0,0.5,0,2.2
0,0.5,0,2.2
1,0.5,0,2.4000000000000004
0,0.6000000000000001,0,2.6000000000000005
1,0.6000000000000001,0,2.6000000000000005
0,0.6000000000000001,0,2.9000000000000004
1,0.6000000000000001,0,2.9000000000000004
0,0.6000000000000001,0,3.0000000000000004
0,0.6000000000000001,0,3.2000000000000006
1,0.6000000000000001,0,3.400000000000001
1,0.6000000000000001,0,3.400000000000001
1,0.6000000000000001,1,3.600000000000001
1,0.6000000000000001,0,3.9000000000000012
0,0.6000000000000001,0,3.9000000000000012
0,0.6000000000000001,0,4.100000000000001
1,0.6000000000000001,0,4.300000000000002
0,0.6000000000000001,0,4.600000000000001
0,0.6000000000000001,0,4.600000000000001
0,0.6000000000000001,0,4.800000000000002
0,0.6000000000000001,0,5.000000000000002
1,0.6000000000000001,0,5.100000000000001
1,0.6000000000000001,1,5.400000000000001
1,0.6000000000000001,0,5.700000000000001
0,0.6000000000000001,0,5.900000000000001
0,0.6000000000000001,0,6.200000000000001
1,0.6000000000000001,0,6.200000000000001
0,0.6000000000000001,0,6.200000000000001
0,0.6000000000000001,0,6.400000000000001
0,0.6000000000000001,0,6.600000000000001
0,0.6000000000000001,0,6.600000000000001
1,0.6000000000000001,1,6.700000000000001
1,0.6000000000000001,0,6.800000000000001
0,0.6000000000000001,0,6.9
0,0.6000000000000001,0,7.1000000000000005
0,0.6000000000000001,0,7.1000000000000005
0,0.6000000000000001,0,7.4
0,0.6000000000000001,0,7.5
0,0.6000000000000001,0,7.7
0,0.6000000000000001,0,7.9
0,0.6000000000000001,0,8.1
0,0.6000000000000001,0,8.299999999999999
0,0.6000000000000001,1,8.399999999999999
1,0.6000000000000001,0,8.499999999999998
1,0.6000000000000001,0,8.599999999999998
1,0.6000000000000001,1,8.699999999999998
1,0.6000000000000001,0,8.799999999999997
0,0.6000000000000001,0,9.099999999999998
0,0.6000000000000001,0,9.099999999999998
0,0.6000000000000001,0,9.299999999999997
0,0.6000000000000001,1,9.399999999999997
1,0.6000000000000001,0,9.499999999999996
0,0.6000000000000001,1,9.599999999999996
0,0.6000000000000001,1,9.699999999999996
0,0.6000000000000001,1,9.799999999999995
0,0.6000000000000001,1,9.899999999999995
1,0.6000000000000001,0,9.999999999999995
0,0.6000000000000001,1,10.099999999999994
0,0.6000000000000001,0,10.199999999999994
0,0.6000000000000001,1,10.299999999999994
1,0.6000000000000001,0,10.399999999999993
0,0.6000000000000001,0,10.499999999999993
0,0.6000000000000001,1,10.599999999999993
0,0.6000000000000001,0,10.699999999999992
1,0.6000000000000001,0,10.799999999999992
0,0.6000000000000001,0,10.899999999999991
0,0.6000000000000001,0,10.999999999999991
0,0.6000000000000001,1,11.09999999999999
0,0.6000000000000001,1,11.19999999999999
1,0.6000000000000001,0,11.29999999999999
