Algorithm,Cumulative Reward,Average Regret,Maximum Cumulative Reward,Minimum Cumulative Regret
Epsilon-Greedy,8026,1.412695,8026,0.0
Thompson Sampling,7873,22.444645000000058,7873,0.2
